alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
cp-csh	synthetic	33333	300	0.05	0	6	3.4791	0:00:03	9.69	20.99	2.48	2.99	0.00	0.00	71.59	2.98	ok	33333	300	300	0.00	GapSeed	6	0	1	0	Zero	50	43	43	366	406	285	0	0	38	31	1.35	0.10	0.20	0.03	0.06	0.01	0.02	13	11	48
cp-sh	synthetic	10000	1000	0.05	0	6	2.4261	0:00:02	9.73	20.99	2.62	3.35	0.00	0.00	62.70	2.04	ok	10000	1000	1000	0.00	SH	6	0	1	0	Zero	136	109	109	1316	1467	1015	1	187	100	0	1.47	0.24	0.15	0.05	0.13	0.00	0.06	44	27	128
cp-csh	synthetic	10000	1000	0.05	0	6	3.6945	0:00:03	9.87	20.99	2.64	3.37	0.00	0.00	83.92	3.59	ok	10000	1000	1000	0.00	GapSeed	6	0	1	0	Zero	166	171	171	1227	1360	953	1	2	128	88	1.36	0.36	0.15	0.10	0.20	0.07	0.06	44	36	156
cp-sh	synthetic	3333	3000	0.05	0	6	3.1611	0:00:03	10.07	21.34	2.94	3.47	0.00	0.00	80.99	3.05	ok	3333	3000	2999	0.00	SH	6	0	1	0	Zero	277	227	227	5220	5817	3975	3	2037	186	0	1.94	0.93	0.60	0.14	0.61	0.00	0.18	132	50	237
cp-csh	synthetic	3333	3000	0.05	0	6	7.5507	0:00:07	10.22	21.25	2.91	3.43	0.00	0.00	90.18	7.29	ok	3333	3000	2999	0.00	GapSeed	6	0	1	0	Zero	500	761	761	3693	4092	2870	3	31	387	169	1.36	2.22	0.36	0.43	1.67	1.26	0.12	132	108	466
cp-sh	synthetic	1000	10000	0.05	0	6	10.8670	0:00:10	136.84	149.46	129.44	129.98	0.00	0.00	91.73	10.45	ok	8	10000	9996	0.00	SH	6	0	1	0	Zero	216	185	185	4422764	4450953	2251148	2756	523663	111	0	445.10	1353.67	77.36	0.55	1351.43	0.00	1.69	444	31	142
cp-csh	synthetic	1000	10000	0.05	0	6	10.0425	0:00:10	11.36	22.70	4.32	4.83	0.00	0.00	91.22	9.64	ok	143	10000	9996	0.00	GapSeed	6	0	1	0	Zero	1666	5380	5380	12321	13655	9577	12	1237	1291	212	1.37	69.60	7.12	3.57	65.61	63.41	0.42	440	358	1549
cp-sh	synthetic	333	30000	0.05	0	6	20.0946	0:00:20	934.82	1034.29	936.79	937.51	0.23	0.00	75.35	15.63	timeout 20s
cp-csh	synthetic	333	30000	0.05	0	6	12.3477	0:00:12	20.06	31.21	12.78	13.49	0.00	0.00	91.54	11.80	ok	4	30000	30008	0.00	GapSeed	6	0	1	0	Zero	5000	40524	40524	37092	41105	28821	38	7080	3878	204	1.37	3069.61	187.07	35.29	3032.54	3020.84	1.77	1319	1076	4640
cp-sh	synthetic	100	100000	0.05	0	6	100.1883	0:01:40	2713.43	2729.12	2706.36	2706.88	0.00	0.00	74.17	74.76	timeout 100s
cp-csh	synthetic	100	100000	0.05	0	6	100.0218	0:01:40	83.27	97.02	76.28	76.78	0.00	0.00	74.73	75.24	timeout 100s
cp-sh	synthetic	33	300000	0.05	0	6	20.0903	0:00:20	743.95	1054.12	738.90	739.61	0.00	0.00	77.00	15.95	timeout 20s
cp-csh	synthetic	33	300000	0.05	0	6	20.0830	0:00:20	769.86	838.17	794.22	794.92	0.00	0.00	77.19	15.97	timeout 20s
cp-sh	synthetic	10	1000000	0.05	0	6	100.1984	0:01:40	2730.38	2742.20	2722.97	2723.50	0.00	0.00	74.31	74.92	timeout 100s
cp-csh	synthetic	10	1000000	0.05	0	6	100.4488	0:01:40	6817.89	7330.92	6810.82	6811.39	0.00	0.00	74.87	75.52	timeout 100s
cp-sh	synthetic	3	3000000	0.05	0	6	20.0813	0:00:20	1032.91	1076.17	1029.04	1029.74	0.00	0.00	76.84	15.90	timeout 20s
cp-csh	synthetic	3	3000000	0.05	0	6	20.6844	0:00:20	7037.06	10316.39	7029.84	7030.56	0.00	0.00	78.23	16.66	timeout 20s
cp-sh	synthetic	1	10000000	0.05	0	6	100.3133	0:01:40	2850.82	2870.82	2843.61	2844.13	0.00	0.00	73.54	74.23	timeout 100s
cp-csh	synthetic	1	10000000	0.05	0	6	106.3270	0:01:46	49440.96	82080.52	49727.52	49728.07	0.00	0.00	71.66	76.69	timeout 100s
cp-sh	synthetic	100000	100	0.05	0	7	2.2367	0:00:02	9.35	20.99	2.46	3.15	0.00	0.00	69.31	2.03	ok	100000	100	99	0.00	SH	7	0	1	0	Zero	13	10	10	127	141	100	0	1	10	0	1.41	0.02	0.05	0.01	0.01	0.00	0.00	4	3	14
cp-csh	synthetic	100000	100	0.05	0	7	2.7142	0:00:02	9.94	20.99	2.51	3.33	0.00	0.00	78.16	2.62	ok	100000	100	99	0.00	GapSeed	7	0	1	0	Zero	14	10	10	124	137	98	0	0	10	9	1.37	0.03	0.03	0.01	0.01	0.00	0.00	4	4	14
