alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
dijkstra	synthetic	100	10000	0.01			3.9626	0:00:03	26.80	38.28	19.77	20.74	0.00	0.00	77.73	3.57	ok	100	10000	9998	0.00	Zero	0	0	0	0		0	0	0	997287	1003915	784825	0	0	0	0	100.39	39.47	4.97	0.00	38.90	0.00	0.57	91	0	0
dijkstra	synthetic	100	10000	0.02			22.1552	0:00:22	78.13	89.51	71.00	71.98	0.00	0.00	66.89	15.31	ok	100	10000	10000	0.00	Zero	0	0	0	0		0	0	0	2534776	2547506	1567411	0	0	0	0	254.74	221.39	21.18	0.00	220.61	0.00	0.78	181	0	0
dijkstra	synthetic	100	10000	0.04			65.1867	0:01:05	112.14	123.28	104.80	105.83	0.00	0.00	68.75	45.29	ok	100	10000	10000	0.00	Zero	0	0	0	0		0	0	0	5398241	5412906	2893901	0	0	0	0	541.28	651.71	32.14	0.00	650.71	0.00	0.99	356	0	0
dijkstra	synthetic	100	10000	0.06			108.8634	0:01:48	229.84	259.71	222.76	223.71	0.00	0.00	96.14	105.13	ok	100	10000	10000	0.00	Zero	0	0	0	0		0	0	0	7934091	7948952	4103731	0	0	0	0	794.88	1088.47	57.35	0.00	1087.38	0.00	1.08	525	0	0
dijkstra	synthetic	100	10000	0.08			146.6319	0:02:26	179.93	258.95	172.65	173.64	0.00	0.00	91.86	135.16	ok	100	10000	9998	0.00	Zero	0	0	0	0		0	0	0	10394135	10409087	5302821	0	0	0	0	1040.91	1466.16	50.17	0.00	1465.05	0.00	1.11	688	0	0
dijkstra	synthetic	100	10000	0.1			182.2263	0:03:02	179.95	258.95	172.80	173.75	0.00	0.00	90.38	165.16	ok	100	10000	10006	0.00	Zero	0	0	0	0		0	0	0	12809754	12824745	6490921	0	0	0	0	1281.65	1822.10	58.64	0.00	1820.94	0.00	1.16	849	0	0
dijkstra	synthetic	100	10000	0.12			234.7669	0:03:54	315.80	327.00	308.50	309.51	0.00	0.00	95.64	225.00	ok	100	10000	9998	0.00	Zero	0	0	0	0		0	0	0	15144600	15159629	7644481	0	0	0	0	1515.96	2347.51	87.99	0.00	2346.31	0.00	1.20	1003	0	0
dijkstra	synthetic	100	10000	0.14			266.7705	0:04:26	348.14	463.39	340.88	341.85	0.00	0.00	95.49	255.22	ok	100	10000	10001	0.00	Zero	0	0	0	0		0	0	0	17354481	17369544	8735350	0	0	0	0	1736.68	2667.55	66.54	0.00	2666.36	0.00	1.19	1150	0	0
dijkstra	synthetic	100	10000	0.16			302.3567	0:05:02	361.00	462.95	351.75	352.75	0.00	0.00	94.14	285.05	ok	100	10000	10001	0.00	Zero	0	0	0	0		0	0	0	19605057	19620146	9858306	0	0	0	0	1961.78	3023.40	73.22	0.00	3022.20	0.00	1.20	1293	0	0
dijkstra	synthetic	100	10000	0.18			328.9709	0:05:28	315.89	327.16	308.67	309.67	0.00	0.00	95.62	315.04	ok	100	10000	10003	0.00	Zero	0	0	0	0		0	0	0	21765763	21780886	10931655	0	0	0	0	2177.40	3289.55	84.57	0.00	3288.35	0.00	1.20	1434	0	0
