alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
dijkstra	synthetic	4	10000	0.01			0.2760	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	4	10000	9989	0.00	Zero	0	0	0	0		0	0	0	1001022	1007640	790160	0	0	0	0	100.76	63.14	6.97	0.00	62.33	0.00	0.81	90	0	0
dijkstra	synthetic	4	10000	0.02			1.2531	0:00:01	43.84	55.09	36.61	37.53	0.00	0.00	40.71	1.00	ok	4	10000	10002	0.00	Zero	0	0	0	0		0	0	0	2429247	2441570	1501657	0	0	0	0	244.10	305.04	27.11	0.00	304.06	0.00	0.97	178	0	0
dijkstra	synthetic	4	10000	0.04			3.5500	0:00:03	112.16	123.20	104.77	105.75	0.00	0.00	73.24	3.08	ok	4	10000	9991	0.00	Zero	0	0	0	0		0	0	0	5412153	5426789	2904788	0	0	0	0	542.68	881.75	15.30	0.00	880.51	0.00	1.25	357	0	0
dijkstra	synthetic	4	10000	0.06			5.8345	0:00:05	247.02	258.95	239.82	241.12	0.00	0.00	87.92	5.61	ok	4	10000	9995	0.00	Zero	0	0	0	0		0	0	0	7941234	7956088	4106379	0	0	0	0	795.61	1452.97	60.61	0.00	1451.66	0.00	1.31	523	0	0
dijkstra	synthetic	4	10000	0.08			7.7236	0:00:07	179.74	258.95	172.57	173.77	0.00	0.00	87.66	7.26	ok	4	10000	9995	0.00	Zero	0	0	0	0		0	0	0	10432534	10447427	5310403	0	0	0	0	1044.74	1924.97	55.49	0.00	1923.66	0.00	1.32	688	0	0
dijkstra	synthetic	4	10000	0.1			9.7465	0:00:09	179.90	190.95	172.57	173.52	0.00	0.00	88.23	9.08	ok	4	10000	10006	0.00	Zero	0	0	0	0		0	0	0	12670865	12685841	6418258	0	0	0	0	1267.82	2430.80	98.62	0.00	2429.36	0.00	1.44	836	0	0
dijkstra	synthetic	4	10000	0.12			11.8440	0:00:11	221.73	258.95	212.49	213.42	0.00	0.00	91.95	11.38	ok	4	10000	9999	0.00	Zero	0	0	0	0		0	0	0	14949759	14964763	7539479	0	0	0	0	1496.48	2955.49	195.24	0.00	2954.03	0.00	1.45	993	0	0
dijkstra	synthetic	4	10000	0.14			13.9238	0:00:13	315.76	326.95	308.47	309.42	0.00	0.00	94.40	13.66	ok	4	10000	9995	0.00	Zero	0	0	0	0		0	0	0	17264875	17279863	8702808	0	0	0	0	1727.99	3475.12	103.03	0.00	3473.68	0.00	1.44	1150	0	0
dijkstra	synthetic	4	10000	0.16			16.8928	0:00:16	407.29	462.95	399.95	400.89	0.00	0.00	88.38	15.41	ok	4	10000	10005	0.00	Zero	0	0	0	0		0	0	0	19960801	19975912	10042893	0	0	0	0	1996.59	4217.38	53.44	0.00	4215.90	0.00	1.49	1303	0	0
dijkstra	synthetic	4	10000	0.18			17.7176	0:00:17	315.79	327.11	308.64	309.89	0.00	0.00	85.51	15.63	ok	4	10000	10002	0.00	Zero	0	0	0	0		0	0	0	21845073	21860180	10985305	0	0	0	0	2185.58	4423.48	64.38	0.00	4421.96	0.00	1.53	1441	0	0
dijkstra	synthetic	4	10000	0.2			19.4080	0:00:19	411.12	462.95	403.89	404.82	0.00	0.00	77.64	15.56	ok	4	10000	9978	0.00	Zero	0	0	0	0		0	0	0	23686169	23701352	11901321	0	0	0	0	2370.14	4846.01	107.53	0.00	4844.47	0.00	1.54	1572	0	0
dijkstra	synthetic	4	10000	0.22			23.3733	0:00:23	315.93	326.95	308.54	309.48	0.00	0.00	62.40	15.07	ok	4	10000	10008	0.00	Zero	0	0	0	0		0	0	0	26193678	26208927	13133812	0	0	0	0	2618.60	5836.92	174.63	0.00	5835.31	0.00	1.60	1720	0	0
dijkstra	synthetic	4	10000	0.24			23.5826	0:00:23	315.88	326.95	444.55	445.49	0.00	0.00	62.84	15.31	ok	4	10000	9985	0.00	Zero	0	0	0	0		0	0	0	27456475	27471700	13754801	0	0	0	0	2747.17	5889.79	138.47	0.00	5888.14	0.00	1.65	1813	0	0
dijkstra	synthetic	4	10000	0.26			24.5977	0:00:24	574.72	839.61	567.53	568.47	0.00	0.00	60.86	15.45	ok	4	10000	9992	0.00	Zero	0	0	0	0		0	0	0	29271582	29286865	14650915	0	0	0	0	2928.69	6143.41	273.86	0.00	6141.80	0.00	1.61	1922	0	0
dijkstra	synthetic	4	10000	0.28			28.3460	0:00:28	587.84	839.47	580.57	581.56	0.00	0.00	53.13	15.55	ok	4	10000	9986	0.00	Zero	0	0	0	0		0	0	0	31637591	31652883	15846876	0	0	0	0	3165.29	7080.61	153.53	0.00	7078.99	0.00	1.62	2066	0	0
dijkstra	synthetic	4	10000	0.3			30.8221	0:00:30	587.73	870.95	580.43	581.37	0.00	0.00	48.11	15.32	ok	4	10000	10013	0.00	Zero	0	0	0	0		0	0	0	34325700	34341102	17218612	0	0	0	0	3429.40	7699.78	202.11	0.00	7698.19	0.00	1.59	2218	0	0
dijkstra	synthetic	4	10000	0.32			31.2798	0:00:31	587.83	870.95	580.43	581.43	0.00	0.00	47.45	15.33	ok	4	10000	9919	0.00	Zero	0	0	0	0		0	0	0	35584866	35600202	17840940	0	0	0	0	3560.02	7814.09	206.57	0.00	7812.52	0.00	1.57	2284	0	0
dijkstra	synthetic	4	10000	0.34			30.5437	0:00:30	675.78	871.00	668.48	669.40	0.00	0.00	48.88	15.42	ok	4	10000	10016	0.00	Zero	0	0	0	0		0	0	0	36500191	36515742	18273837	0	0	0	0	3645.56	7627.74	198.67	0.00	7626.16	0.00	1.58	2374	0	0
dijkstra	synthetic	4	10000	0.36			32.1837	0:00:32	614.70	871.39	607.52	608.40	0.00	0.00	46.67	15.51	ok	4	10000	9950	0.00	Zero	0	0	0	0		0	0	0	39020324	39035765	19533060	0	0	0	0	3903.58	8040.07	138.55	0.00	8038.49	0.00	1.58	2525	0	0
dijkstra	synthetic	4	10000	0.38			32.9109	0:00:32	759.86	871.00	752.58	753.52	0.00	0.00	45.36	15.40	ok	4	10000	10004	0.00	Zero	0	0	0	0		0	0	0	40438888	40454477	20221553	0	0	0	0	4043.83	8218.27	69.38	0.00	8216.67	0.00	1.60	2594	0	0
cp-sh	synthetic	4	10000	0.01	0	9	0.0290	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	4	10000	9989	0.00	SH	9	0	1	0	Zero	1111	1032	1032	10528	10795	9214	0	0	1025	960	1.08	1.58	0.13	0.50	0.54	0.00	0.54	90	79	1060
