alg	cnt	n	e	r	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
sh	10	10000	0.02	1	9	0.0229	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	SH	9	0	1	0	Zero	1111	959	959	11210	11768	9662	2	3	948	871	1.18	0.99	0.05	0.32	0.44	0.00	0.23	181	151	1060
csh	10	10000	0.02	1	9	0.0254	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	CSH	9	0	1	0	Zero	1111	1000	1000	11117	11654	9590	2	3	948	867	1.17	1.25	0.07	0.38	0.64	0.17	0.23	181	158	1097
sh	10	10000	0.04	1	9	0.0263	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10003	0.00	SH	9	0	1	0	Zero	1111	833	833	12771	13940	10646	9	24	806	716	1.39	1.32	0.10	0.30	0.59	0.00	0.44	358	278	1057
csh	10	10000	0.04	1	9	0.0282	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10003	0.00	CSH	9	0	1	0	Zero	1111	862	862	12529	13646	10467	10	16	806	704	1.36	1.52	0.11	0.36	0.76	0.17	0.40	358	293	1092
sh	10	10000	0.06	1	9	0.0274	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	SH	9	0	1	0	Zero	1111	728	728	15335	17222	12243	20	93	700	597	1.72	1.44	0.09	0.28	0.86	0.00	0.29	518	383	1057
csh	10	10000	0.06	1	9	0.0292	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	CSH	9	0	1	0	Zero	1111	755	755	14853	16653	11913	21	93	700	583	1.67	1.62	0.07	0.34	1.01	0.16	0.27	518	402	1092
sh	10	10000	0.08	1	9	0.0340	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9993	0.00	SH	9	0	1	0	Zero	1111	627	627	21164	24178	15758	47	662	591	483	2.42	2.09	0.14	0.27	1.51	0.00	0.32	694	483	1054
csh	10	10000	0.08	1	9	0.0366	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9993	0.00	CSH	9	0	1	0	Zero	1111	649	649	19855	22689	14941	45	634	591	467	2.27	2.27	0.12	0.31	1.57	0.15	0.40	694	507	1088
sh	10	10000	0.1	1	9	0.0488	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	SH	9	0	1	0	Zero	1111	555	555	35106	39912	23811	106	3057	514	396	3.99	3.56	0.68	0.26	2.91	0.00	0.39	849	556	1052
csh	10	10000	0.1	1	9	0.0470	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	CSH	9	0	1	0	Zero	1111	574	574	30121	34459	20952	95	2547	513	374	3.45	3.39	0.53	0.29	2.74	0.17	0.36	849	586	1091
sh	10	10000	0.12	1	9	0.1622	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10009	0.00	SH	9	0	1	0	Zero	1111	482	482	125385	135994	71029	504	42694	447	326	13.59	14.90	6.23	0.25	14.15	0.00	0.50	1001	629	1060
csh	10	10000	0.12	1	9	0.1195	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10009	0.00	CSH	9	0	1	0	Zero	1111	500	500	82936	91416	49479	343	28483	444	306	9.13	10.62	3.47	0.28	9.91	0.28	0.43	1001	657	1092
sh	10	10000	0.14	1	9	2.4938	0:00:02	52.31	63.33	45.10	46.42	0.00	0.00	61.75	2.02	ok	10	10000	10005	0.00	SH	9	0	1	0	Zero	1111	425	425	1473138	1510559	696131	7052	364165	399	275	150.97	247.86	72.71	0.24	246.74	0.00	0.87	1150	685	1068
csh	10	10000	0.14	1	9	1.8967	0:00:01	52.29	63.46	45.16	46.52	0.00	0.00	54.28	1.51	ok	10	10000	10005	0.00	CSH	9	0	1	0	Zero	1111	442	442	1021685	1052589	489774	5010	341423	397	253	105.20	188.12	66.22	0.40	186.89	3.24	0.83	1150	715	1098
sh	10	10000	0.16	1	9	6.8573	0:00:06	136.18	147.29	128.90	130.32	0.00	0.00	89.68	6.64	ok	10	10000	10003	0.00	SH	9	0	1	0	Zero	1111	383	383	3559342	3626137	1643114	17133	578641	353	228	362.50	684.26	81.38	0.23	682.92	0.00	1.12	1290	728	1069
csh	10	10000	0.16	1	9	6.6069	0:00:06	94.05	105.84	86.93	88.32	0.00	0.00	85.06	6.10	ok	10	10000	10003	0.00	CSH	9	0	1	0	Zero	1111	395	395	3082022	3143188	1426139	15314	607936	353	206	314.22	659.31	85.29	0.51	657.68	9.26	1.12	1290	763	1100
sh	10	10000	0.18	1	9	11.0935	0:00:11	153.62	189.43	146.38	147.46	0.00	0.00	92.12	10.71	ok	10	10000	9986	0.00	SH	9	0	1	0	Zero	1111	332	332	5703562	5801786	2620434	28631	626541	304	188	580.18	1107.80	79.79	0.23	1106.40	0.00	1.18	1433	778	1071
csh	10	10000	0.18	1	9	11.1604	0:00:11	136.51	147.64	129.17	130.24	0.00	0.00	91.31	10.68	ok	10	10000	9986	0.00	CSH	9	0	1	0	Zero	1111	345	345	5210091	5302874	2395789	26592	713985	304	169	530.29	1114.65	95.39	0.24	1113.24	14.34	1.17	1433	810	1102
sh	10	10000	0.2	1	9	16.0244	0:00:16	236.30	315.49	228.98	230.39	0.00	0.00	92.36	15.29	ok	10	10000	9996	0.00	SH	9	0	1	0	Zero	1111	292	292	7963340	8093071	3648375	40249	677709	262	149	809.31	1601.05	124.77	0.22	1599.62	0.00	1.21	1571	819	1071
csh	10	10000	0.2	1	9	15.4405	0:00:15	220.77	231.79	213.31	214.74	0.00	0.00	95.79	15.28	ok	10	10000	9996	0.00	CSH	9	0	1	0	Zero	1111	302	302	7476320	7601687	3426904	38597	789035	262	129	760.17	1542.66	119.82	0.23	1541.25	19.94	1.18	1571	854	1101
sh	10	10000	0.22	1	9	21.1643	0:00:21	220.40	231.53	213.03	214.13	0.00	0.00	69.69	15.23	ok	10	10000	9990	0.00	SH	9	0	1	0	Zero	1111	261	261	10245740	10408972	4689242	53252	642977	232	126	1040.90	2114.66	113.11	0.21	2113.16	0.00	1.29	1704	850	1074
csh	10	10000	0.22	1	9	21.4758	0:00:21	220.73	231.75	213.40	214.46	0.00	0.00	69.00	15.31	ok	10	10000	9990	0.00	CSH	9	0	1	0	Zero	1111	270	270	9807382	9967095	4489679	52099	739078	232	109	996.71	2146.19	86.00	0.22	2144.67	25.87	1.29	1704	882	1101
sh	10	10000	0.24	1	9	24.8169	0:00:24	231.96	315.32	224.68	226.08	0.00	0.00	59.52	15.26	ok	10	10000	10023	0.00	SH	9	0	1	0	Zero	1111	234	234	12345323	12541255	5643687	64950	619048	201	107	1251.16	2480.23	92.88	0.20	2478.72	0.00	1.31	1840	877	1071
csh	10	10000	0.24	1	9	26.9983	0:00:26	226.50	315.72	219.21	220.60	0.00	0.00	55.01	15.34	ok	10	10000	10023	0.00	CSH	9	0	1	0	Zero	1111	243	243	11904736	12098082	5443256	64317	711792	201	88	1206.95	2697.58	97.97	0.22	2696.04	31.56	1.32	1840	914	1101
sh	10	10000	0.26	1	9	28.0072	0:00:28	388.52	399.62	381.11	382.50	0.00	0.00	52.92	15.31	ok	10	10000	10000	0.00	SH	9	0	1	0	Zero	1111	209	209	14204564	14427392	6478310	75316	617236	177	86	1442.64	2799.34	102.73	0.20	2797.87	0.00	1.28	1950	901	1072
csh	10	10000	0.26	1	9	29.9792	0:00:29	388.61	399.71	381.34	382.72	0.00	0.00	49.37	15.29	ok	10	10000	10000	0.00	CSH	9	0	1	0	Zero	1111	216	216	13742082	13962297	6268196	74733	704747	176	71	1396.13	2996.52	128.44	0.21	2994.99	41.06	1.32	1950	938	1101
sh	10	10000	0.28	1	9	35.8698	0:00:35	388.11	399.22	380.82	382.16	0.00	0.00	41.40	15.33	ok	10	10000	10015	0.00	SH	9	0	1	0	Zero	1111	191	191	16214107	16466237	7397823	86182	569360	159	72	1644.11	3585.41	102.71	0.19	3583.88	0.00	1.34	2070	919	1072
