alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
edlib	10000	10000	0.1	67.6911	0:01:07	199.43	211.31	194.17	195.08	0.00	0.00	66.29	45.36
wfa	10000	10000	0.1	38.2439	0:00:38	21.52	32.52	16.85	17.41	0.00	0.00	39.15	15.46
pa	10000	10000	0.2	14.5857	0:00:14	203.29	214.45	197.02	197.99	0.00	0.00	94.06	14.21
edlib	10000	10000	0.2	85.4626	0:01:25	199.51	211.07	194.00	194.72	0.00	0.00	87.27	75.05
wfa	10000	10000	0.2	119.1117	0:01:59	45.51	56.68	40.82	41.34	0.00	0.00	87.73	105.00
pa	3333	30000	0.01	8.1300	0:00:08	201.38	212.34	195.24	196.03	0.00	0.00	90.02	7.79
edlib	3333	30000	0.01	67.3572	0:01:07	198.58	209.97	192.39	193.33	0.00	0.00	66.77	45.45
wfa	3333	30000	0.01	2.2417	0:00:02	7.72	24.46	2.92	3.41	0.00	0.00	69.18	2.04
pa	3333	30000	0.05	15.7418	0:00:15	199.23	210.59	193.71	194.29	0.00	0.00	92.51	15.05
edlib	3333	30000	0.05	93.2577	0:01:33	198.66	209.95	193.18	193.93	0.00	0.00	80.66	75.72
wfa	3333	30000	0.05	30.3067	0:00:30	37.59	48.66	32.95	33.47	0.00	0.00	49.89	15.60
pa	3333	30000	0.1	38.3815	0:00:38	204.82	215.89	198.73	199.66	0.00	0.00	39.60	15.68
edlib	3333	30000	0.1	122.8591	0:02:02	198.66	210.12	193.30	194.07	0.00	0.00	85.68	105.73
wfa	3333	30000	0.1	106.6518	0:01:46	93.72	105.30	89.02	89.67	0.25	0.00	98.28	105.30
pa	3333	30000	0.2	154.6593	0:02:34	211.39	223.45	206.27	206.75	2.51	0.00	87.05	135.09
edlib	3333	30000	0.2	196.3389	0:03:16	198.64	209.99	193.15	194.48	0.03	0.00	99.17	195.18
wfa	3333	30000	0.2	359.6333	0:05:59	278.08	291.07	273.41	274.07	0.52	0.00	95.49	343.94
pa	1000	100000	0.01	8.9607	0:00:08	207.39	218.66	201.29	202.76	0.00	0.00	90.40	8.61
edlib	1000	100000	0.01	92.2244	0:01:32	198.96	210.60	193.73	194.66	0.00	0.00	81.24	75.40
wfa	1000	100000	0.01	6.2446	0:00:06	39.87	51.04	35.33	36.09	0.00	0.00	91.28	6.18
pa	1000	100000	0.05	16.1359	0:00:16	202.23	214.46	196.69	197.23	0.00	0.00	91.84	15.29
