alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
cp-csh	synthetic	100000	1000	0.01	0	15	20.0575	0:00:20	9.89	20.99	2.52	3.32	0.00	0.00	77.23	16.04	ok	53289	1000	999	0.00	GapSeed	15	0	1	0	Zero	66	57	57	1074	1100	986	0	0	57	56	1.10	0.37	0.43	0.10	0.15	0.03	0.12	9	8	66
cp-sh-noprune	synthetic	33333	3000	0.01	0	15	20.0517	0:00:20	9.89	21.12	2.71	3.31	0.00	0.00	76.76	15.88	ok	22450	3000	2999	0.00	SH	15	0	0	0	Zero	199	175	175	3862	4011	3433	0	0	0	0	1.34	0.88	0.34	0.26	0.33	0.00	0.29	27	24	24
cp-csh-noprune	synthetic	33333	3000	0.01	0	15	20.0616	0:00:20	10.10	21.12	2.74	3.35	0.00	0.00	77.22	15.99	ok	20796	3000	2999	0.00	GapSeed	15	0	0	0	Zero	200	175	175	3738	3874	3343	0	0	0	0	1.29	0.93	0.38	0.31	0.32	0.00	0.29	27	25	25
cp-sh	synthetic	33333	3000	0.01	0	15	20.0451	0:00:20	9.75	21.12	2.68	3.28	0.00	0.00	75.43	15.62	ok	25659	3000	2999	0.00	SH	15	0	1	0	Zero	199	175	175	3237	3318	2974	0	38	174	0	1.11	0.77	0.56	0.26	0.24	0.00	0.26	27	24	199
cp-csh	synthetic	33333	3000	0.01	0	15	20.0616	0:00:20	9.60	20.99	2.65	3.28	0.00	0.00	76.31	15.82	ok	19935	3000	2999	0.00	GapSeed	15	0	1	0	Zero	200	175	175	3222	3301	2961	0	0	174	171	1.10	0.98	0.41	0.31	0.41	0.09	0.25	27	25	199
cp-sh-noprune	synthetic	10000	10000	0.01	0	15	20.0444	0:00:20	10.83	22.01	3.59	4.61	0.00	0.00	77.22	16.00	ok	3088	10000	9999	0.00	SH	15	0	0	0	Zero	665	585	585	22458	23600	17561	5	0	0	0	2.36	6.43	2.68	1.04	4.18	0.00	1.21	91	81	81
cp-csh-noprune	synthetic	10000	10000	0.01	0	15	20.0456	0:00:20	11.11	21.96	3.59	4.24	0.00	0.00	78.80	16.32	ok	3843	10000	9999	0.00	GapSeed	15	0	0	0	Zero	666	584	584	20204	21230	16202	12	0	0	0	2.12	5.09	1.91	0.91	3.15	0.00	1.03	91	82	82
cp-sh	synthetic	10000	10000	0.01	0	15	20.0413	0:00:20	10.30	21.64	3.31	4.32	0.00	0.00	75.04	15.53	ok	7709	10000	9999	0.00	SH	15	0	1	0	Zero	665	584	584	10793	11063	9917	0	225	582	0	1.11	2.56	1.19	0.93	0.85	0.00	0.78	91	81	663
cp-csh	synthetic	10000	10000	0.01	0	15	20.0322	0:00:20	10.35	21.54	3.05	3.68	0.00	0.00	75.43	15.64	ok	6383	10000	9999	0.00	GapSeed	15	0	1	0	Zero	666	585	585	10741	11003	9872	0	0	582	569	1.10	3.09	1.53	0.94	1.39	0.31	0.75	91	82	663
cp-sh-noprune	synthetic	3333	30000	0.01	0	15	20.1054	0:00:20	21.30	32.40	13.99	14.92	0.00	0.00	76.17	15.86	ok	244	30000	29999	0.00	SH	15	0	0	0	Zero	1999	1756	1756	236756	245942	146117	86	0	0	0	8.20	81.99	30.24	3.62	73.94	0.00	4.42	273	243	243
cp-csh-noprune	synthetic	3333	30000	0.01	0	15	20.0656	0:00:20	21.42	32.67	14.24	14.99	0.00	0.00	78.36	16.39	ok	303	30000	29998	0.00	GapSeed	15	0	0	0	Zero	2000	1757	1757	195504	204039	124519	274	0	0	0	6.80	65.73	22.50	2.56	59.44	0.00	3.73	273	246	246
cp-sh	synthetic	3333	30000	0.01	0	15	20.1024	0:00:20	12.25	23.59	5.19	5.80	0.00	0.00	78.10	16.24	ok	1768	30000	30000	0.00	SH	15	0	1	0	Zero	1999	1756	1756	32386	33195	29758	1	812	1748	0	1.11	11.22	3.34	3.45	2.49	0.00	5.28	273	243	1992
cp-csh	synthetic	3333	30000	0.01	0	15	20.0360	0:00:20	10.92	22.46	3.89	4.51	0.00	0.00	77.02	16.00	ok	1663	30000	30000	0.00	GapSeed	15	0	1	0	Zero	2000	1756	1756	32230	33015	29626	1	0	1749	1710	1.10	11.80	2.26	2.86	3.92	1.01	5.02	273	247	1992
cp-sh-noprune	synthetic	1000	100000	0.01	0	15	22.7135	0:00:22	139.79	192.73	132.30	132.93	0.00	0.00	67.63	15.87	ok	6	100000	100018	0.00	SH	15	0	0	0	Zero	6664	5859	5859	6523658	6629549	3338407	2821	0	0	0	66.28	3776.53	761.01	13.23	3736.67	0.00	26.64	914	805	805
cp-csh-noprune	synthetic	1000	100000	0.01	0	15	20.5566	0:00:20	161.70	191.89	155.46	156.12	0.00	0.00	75.08	15.93	ok	7	100000	100010	0.00	GapSeed	15	0	0	0	Zero	6666	5863	5863	4877260	4980862	2537790	8596	0	0	0	49.80	2926.87	911.23	13.68	2890.62	0.00	22.57	910	817	817
cp-sh	synthetic	1000	100000	0.01	0	15	20.0525	0:00:20	16.33	27.23	8.82	9.50	0.00	0.00	78.22	16.20	ok	683	100000	99998	0.00	SH	15	0	1	0	Zero	6665	5855	5855	107949	110647	99190	6	3405	5829	0	1.11	29.03	1.46	11.83	7.97	0.00	9.23	909	810	6639
cp-csh	synthetic	1000	100000	0.01	0	15	20.0780	0:00:20	14.26	26.45	7.09	7.72	0.00	0.00	77.35	16.02	ok	570	100000	99999	0.00	GapSeed	15	0	1	0	Zero	6666	5857	5857	107430	110046	98753	6	1	5830	5701	1.10	34.63	3.20	11.67	12.84	3.03	10.12	909	821	6640
cp-sh-noprune	synthetic	333	300000	0.01	0	15	75.4024	0:01:15	1421.09	1453.25	1413.87	1414.48	0.00	0.00	60.19	45.91	ok	1	300000	300102	0.00	SH	15	0	0	0	Zero	19994	17613	17613	99432949	100252915	48224730	41572	0	0	0	334.06	75342.62	0.00	85.54	75128.86	0.00	128.22	2705	2381	2381
cp-csh-noprune	synthetic	333	300000	0.01	0	15	72.7470	0:01:12	1285.37	2125.71	1280.94	1281.53	0.00	0.00	62.54	45.98	ok	1	300000	300102	0.00	GapSeed	15	0	0	0	Zero	20000	17625	17625	86776132	87778849	42228136	156532	0	0	0	292.50	72668.53	0.00	37.46	72515.42	0.00	115.65	2705	2405	2405
cp-sh	synthetic	333	300000	0.01	0	15	20.1181	0:00:20	33.80	45.06	26.63	27.35	0.00	0.00	76.05	15.80	ok	173	300000	299998	0.00	SH	15	0	1	0	Zero	19995	17567	17567	323855	331954	297576	20	13237	17489	0	1.11	115.19	13.34	61.03	27.88	0.00	26.28	2729	2427	19917
cp-csh	synthetic	333	300000	0.01	0	15	20.1095	0:00:20	24.10	39.18	17.05	17.59	0.00	0.00	77.71	16.13	ok	195	300000	299997	0.00	GapSeed	15	0	1	0	Zero	20000	17577	17577	322270	330124	296242	20	4	17494	17104	1.10	101.18	6.42	30.14	42.51	10.64	28.53	2728	2462	19923
cp-sh-noprune	synthetic	100	1000000	0.01	0	15	860.3119	0:14:20	28730.40	32620.21	28784.62	28784.62	3.67	0.00	95.83	818.53	out-of-memory 137
cp-csh-noprune	synthetic	100	1000000	0.01	0	15	1003.5480	0:16:43	21839.41	32620.77	21839.29	21839.41	22.21	0.00	96.33	964.99	timeout 1000s
cp-sh	synthetic	100	1000000	0.01	0	15	20.5914	0:00:20	94.87	107.60	87.57	88.19	0.00	0.00	76.46	16.30	ok	27	1000000	1000001	0.00	SH	15	0	1	0	Zero	66611	58517	58517	1079232	1106172	991707	67	51015	58250	0	1.11	754.57	35.45	389.28	103.17	0.00	262.12	9093	8093	66343
cp-csh	synthetic	100	1000000	0.01	0	15	20.4369	0:00:20	53.92	70.18	46.58	47.20	0.00	0.00	81.88	17.26	ok	39	1000000	1000003	0.00	GapSeed	15	0	1	0	Zero	66666	58624	58624	1074098	1100249	987362	69	13	58307	56975	1.10	515.26	21.67	133.42	141.38	38.50	240.46	9095	8218	66411
