alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
cp-sh	synthetic	100000	100	0.05	0	15	4.5701	0:00:04	9.85	21.07	2.50	3.82	19.46	0.00	77.99	4.16	ok	100000	100	99	0.00	SH	15	0	1	0	Zero	6	3	3	154	170	131	0	0	2	2	1.70	0.04	0.28	0.01	0.02	0.00	0.01	4	3	6
cp-csh	synthetic	100000	100	0.05	0	15	4.6629	0:00:04	9.80	21.07	2.57	3.88	0.00	0.00	84.01	4.49	ok	100000	100	99	0.00	CSH	15	0	1	0	Zero	6	3	3	153	168	130	0	0	2	2	1.69	0.04	0.05	0.01	0.03	0.00	0.01	4	3	6
cp-sh	synthetic	33333	300	0.05	0	15	4.3024	0:00:04	9.91	21.07	4.57	5.68	0.00	0.00	74.70	3.71	ok	33333	300	299	0.00	SH	15	0	1	0	Zero	20	10	10	496	546	420	0	1	10	9	1.82	0.12	0.08	0.02	0.07	0.00	0.03	13	10	20
cp-csh	synthetic	33333	300	0.05	0	15	4.8853	0:00:04	9.82	21.07	4.57	5.70	0.00	0.00	84.26	4.62	ok	33333	300	299	0.00	CSH	15	0	1	0	Zero	20	10	10	492	542	416	0	1	10	9	1.81	0.14	0.23	0.02	0.08	0.01	0.03	13	10	20
cp-sh	synthetic	10000	1000	0.05	0	15	4.5858	0:00:04	9.93	21.07	2.70	4.03	19.11	0.00	85.06	4.42	ok	10000	1000	1000	0.00	SH	15	0	1	0	Zero	66	34	34	1797	1980	1500	1	12	33	30	1.98	0.44	0.20	0.07	0.26	0.00	0.11	44	31	65
cp-csh	synthetic	10000	1000	0.05	0	15	5.2422	0:00:05	9.89	21.07	2.80	4.39	0.00	0.00	79.74	4.73	ok	10000	1000	1000	0.00	CSH	15	0	1	0	Zero	66	34	34	1785	1966	1490	1	11	33	30	1.97	0.51	0.51	0.08	0.33	0.02	0.11	44	32	65
cp-sh	synthetic	3333	3000	0.05	0	15	4.7727	0:00:04	10.07	21.42	2.96	4.29	14.88	0.00	77.49	4.24	ok	3333	3000	2999	0.00	SH	15	0	1	0	Zero	200	104	104	5578	6144	4629	5	53	102	92	2.05	1.40	0.72	0.24	0.84	0.00	0.33	132	95	198
cp-csh	synthetic	3333	3000	0.05	0	15	5.3525	0:00:05	10.05	21.43	3.05	4.64	2.98	0.00	79.77	4.76	ok	3333	3000	2999	0.00	CSH	15	0	1	0	Zero	200	104	104	5541	6102	4598	6	50	102	92	2.03	1.57	1.04	0.25	0.99	0.08	0.33	132	96	198
cp-sh	synthetic	1000	10000	0.05	0	15	4.7909	0:00:04	10.53	21.94	3.57	5.58	0.00	0.00	74.04	4.05	ok	1000	10000	10000	0.00	SH	15	0	1	0	Zero	666	349	349	19079	21009	15742	20	221	342	308	2.10	4.69	1.74	0.66	3.03	0.00	1.00	441	316	659
cp-csh	synthetic	1000	10000	0.05	0	15	5.0508	0:00:05	10.41	21.66	3.34	5.34	0.00	0.00	81.98	4.64	ok	1000	10000	10000	0.00	CSH	15	0	1	0	Zero	666	349	349	18957	20869	15639	21	210	342	307	2.09	4.96	1.45	0.69	3.32	0.24	0.94	441	318	659
