alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	10000	100	0.01	0.1090	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	10000	100	0.01	0.2252	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	10000	100	0.01	0.0410	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	0.1632	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	10000	100	0.05	0.2212	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	10000	100	0.05	0.0593	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.1	0.2512	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	10000	100	0.1	0.2306	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	10000	100	0.1	0.0722	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.2	0.7412	0:00:00	8.91	20.59	3.57	4.25	0.00	0.00	0.00	0.44
edlib	10000	100	0.2	0.2441	0:00:00	2.69	7.11	0.46	0.72	0.00	0.00	0.00	0.00
wfa	10000	100	0.2	0.0888	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	3333	300	0.01	0.1019	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	3333	300	0.01	0.1962	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	3333	300	0.01	0.0267	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	3333	300	0.05	0.1682	0:00:00	2.93	7.11	0.35	0.54	0.03	0.00	0.00	0.00
edlib	3333	300	0.05	0.1987	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	3333	300	0.05	0.0428	0:00:00	0.00	1.31	0.02	0.02	0.02	0.00	0.00	0.00
pa	3333	300	0.1	0.3005	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	3333	300	0.1	0.1985	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	3333	300	0.1	0.0591	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	3333	300	0.2	0.7979	0:00:00	8.95	20.03	3.23	3.89	0.00	0.00	0.00	0.50
edlib	3333	300	0.2	0.1995	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	3333	300	0.2	0.0980	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	1000	1000	0.01	0.0931	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	1000	1000	0.01	0.1776	0:00:00	0.00	1.31	0.03	0.03	0.00	0.00	0.00	0.00
wfa	1000	1000	0.01	0.0228	0:00:00	2.89	7.11	0.45	0.62	0.00	0.00	0.00	0.00
pa	1000	1000	0.05	0.1930	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
