alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
dijkstra	synthetic	3	10000	0.38			28.1323	0:00:28	556.20	839.61	549.00	549.90	0.00	0.00	52.29	15.19	ok	3	10000	9989	0.00	Zero	0	0	0	0		0	0	0	40517847	40533359	20306563	0	0	0	0	4053.34	9369.54	171.10	0.00	9367.87	0.00	1.67	2605	0	0
cp-sh	synthetic	3	10000	0.01	0	8	0.0297	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	10005	0.00	SH	8	0	1	0	Zero	1250	1181	1181	10559	10833	9104	0	0	1168	963	1.08	2.10	0.19	0.67	0.64	0.00	0.79	91	69	1053
cp-csh	synthetic	3	10000	0.01	0	8	0.0322	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	10005	0.00	CSH	8	0	1	0	Zero	1250	1384	1384	10489	10745	9052	0	0	1168	969	1.07	3.07	0.09	0.82	1.51	0.89	0.73	91	80	1226
cp-sh+dt	synthetic	3	10000	0.01	0	8	0.0268	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	10005	0.00	SH	8	0	1	0	Zero	1250	1181	1181	10198	10543	9992	0	0	1168	966	1.05	1.11	0.13	0.66	0.36	0.00	0.09	91	69	1053
cp-csh+dt	synthetic	3	10000	0.01	0	8	0.0297	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	10005	0.00	CSH	8	0	1	0	Zero	1250	1384	1384	10182	10515	9988	0	0	1168	972	1.05	2.17	0.04	0.82	1.25	0.93	0.10	91	80	1226
cp-sh	synthetic	3	10000	0.02	0	8	0.0280	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	10002	0.00	SH	8	0	1	0	Zero	1250	1119	1119	11049	11600	9379	1	0	1088	899	1.16	1.77	0.17	0.61	0.74	0.00	0.42	180	130	1073
cp-csh	synthetic	3	10000	0.02	0	8	0.0306	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	10002	0.00	CSH	8	0	1	0	Zero	1250	1276	1276	10914	11429	9282	1	0	1088	895	1.14	2.52	0.21	0.74	1.42	0.70	0.36	180	157	1226
cp-sh+dt	synthetic	3	10000	0.02	0	8	0.0264	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	10002	0.00	SH	8	0	1	0	Zero	1250	1119	1119	10378	11045	9967	0	0	1088	906	1.10	1.14	0.08	0.59	0.45	0.00	0.10	180	130	1073
cp-csh+dt	synthetic	3	10000	0.02	0	8	0.0291	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	10002	0.00	CSH	8	0	1	0	Zero	1250	1276	1276	10347	10992	9958	0	0	1088	901	1.10	1.97	0.15	0.78	1.08	0.68	0.11	180	157	1226
cp-sh	synthetic	3	10000	0.04	0	8	0.0296	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	9978	0.00	SH	8	0	1	0	Zero	1250	1010	1010	12647	13805	10359	7	36	955	747	1.38	2.32	0.21	0.59	0.98	0.00	0.75	348	240	1058
cp-csh	synthetic	3	10000	0.04	0	8	0.0316	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	9978	0.00	CSH	8	0	1	0	Zero	1250	1161	1161	12161	13223	10031	8	16	955	722	1.32	2.93	0.13	0.74	1.59	0.67	0.59	348	288	1220
cp-sh+dt	synthetic	3	10000	0.04	0	8	0.0267	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	9978	0.00	SH	8	0	1	0	Zero	1250	1010	1010	10934	12322	9978	0	19	955	760	1.23	1.33	0.12	0.58	0.63	0.00	0.12	348	240	1057
cp-csh+dt	synthetic	3	10000	0.04	0	8	0.0290	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	9978	0.00	CSH	8	0	1	0	Zero	1250	1161	1161	10808	12127	9950	0	14	955	735	1.21	2.11	0.05	0.72	1.27	0.66	0.12	348	288	1220
cp-sh	synthetic	3	10000	0.06	0	8	0.0388	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	9967	0.00	SH	8	0	1	0	Zero	1250	909	909	15587	17583	12173	18	162	821	610	1.76	2.67	0.06	0.64	1.57	0.00	0.46	529	341	1043
