alg	cnt	n	e	k	m	pf	band	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	100000	100	0.01	6	0	0.01	1.019	1.9262	0:00:01	32.30	45.22	26.74	27.14	0.00	0.00	53.97	1.51
pa	100000	100	0.01	6	0	0.01	1.019	1.8714	0:00:01	32.45	45.22	26.75	27.14	0.00	0.00	54.52	1.51
pa	100000	100	0.01	6	0	0.01	1.019	1.8785	0:00:01	32.54	45.22	26.75	27.19	0.00	0.00	55.39	1.53
pa	100000	100	0.01	6	0	0.4	1.019	2.1851	0:00:02	32.43	45.22	26.75	27.16	0.00	0.00	69.10	2.00
pa	100000	100	0.01	6	0	0.4	1.019	2.1794	0:00:02	32.52	45.22	26.77	27.16	0.00	0.00	70.94	2.04
pa	100000	100	0.01	6	0	0.4	1.019	2.1422	0:00:02	32.39	45.22	26.76	27.16	0.00	0.00	72.34	2.04
pa	100000	100	0.01	6	0	0.8	1.019	2.2578	0:00:02	32.22	45.22	26.74	27.16	0.00	0.00	68.65	2.02
pa	100000	100	0.01	6	0	0.8	1.019	2.2738	0:00:02	32.49	45.22	26.77	27.16	0.00	0.00	67.71	2.03
pa	100000	100	0.01	6	0	0.8	1.019	2.2896	0:00:02	32.45	45.22	26.76	27.17	0.00	0.00	65.06	1.97
pa	100000	100	0.01	6	0	1.0	1.019	2.1613	0:00:02	32.35	45.22	26.74	27.12	0.00	0.00	71.52	2.03
pa	100000	100	0.01	6	0	1.0	1.019	2.1420	0:00:02	32.25	45.22	26.74	27.13	0.00	0.00	71.93	2.02
pa	100000	100	0.01	6	0	1.0	1.019	2.2115	0:00:02	32.52	45.22	26.75	27.14	0.00	0.00	69.23	2.01
pa	100000	100	0.01	8	0	0.01	1.019	1.5995	0:00:01	32.58	45.22	26.78	27.19	0.00	0.00	63.12	1.50
pa	100000	100	0.01	8	0	0.01	1.019	1.5940	0:00:01	32.39	45.22	26.73	27.13	0.00	0.00	64.60	1.51
pa	100000	100	0.01	8	0	0.01	1.019	1.5775	0:00:01	32.32	45.22	26.77	27.15	0.00	0.00	65.30	1.52
pa	100000	100	0.01	8	0	0.4	1.019	1.7361	0:00:01	32.45	45.22	26.73	27.19	0.00	0.00	59.29	1.51
pa	100000	100	0.01	8	0	0.4	1.019	1.7884	0:00:01	32.35	45.22	26.74	27.13	0.00	0.00	57.03	1.50
pa	100000	100	0.01	8	0	0.4	1.019	1.7750	0:00:01	32.42	45.22	26.75	27.17	0.00	0.00	58.36	1.53
pa	100000	100	0.01	8	0	0.8	1.019	1.8599	0:00:01	32.53	45.22	26.79	27.24	0.00	0.00	54.83	1.51
pa	100000	100	0.01	8	0	0.8	1.019	1.8475	0:00:01	32.39	45.22	26.73	27.13	0.00	0.00	55.21	1.51
pa	100000	100	0.01	8	0	0.8	1.019	1.8407	0:00:01	32.32	45.22	26.73	27.13	0.00	0.00	55.42	1.49
pa	100000	100	0.01	8	0	1.0	1.019	1.8038	0:00:01	32.50	45.22	26.73	27.12	0.00	0.00	58.11	1.51
