alg	cnt	n	e	k	m	pf	band	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	10000	100	0.01	11	0	0.01	1.018	0.1506	0:00:00	0.00	1.31	0.03	0.03	0.00	0.00	0.00	0.00
pa	10000	100	0.01	11	0	0.01	1.018	0.1387	0:00:00	3.52	12.52	0.46	0.66	0.00	0.00	0.00	0.00
pa	10000	100	0.01	11	0	0.4	1.018	0.1586	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	11	0	0.4	1.018	0.1416	0:00:00	9.00	20.77	3.38	3.79	0.00	0.00	0.00	0.00
pa	10000	100	0.01	11	0	0.8	1.018	0.1591	0:00:00	3.27	14.20	0.09	0.63	0.00	0.00	0.00	0.00
pa	10000	100	0.01	11	0	0.8	1.018	0.1594	0:00:00	1.26	6.97	0.25	0.34	0.00	0.00	0.00	0.00
pa	10000	100	0.01	11	0	1.0	1.018	0.1574	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	11	0	1.0	1.018	0.1565	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	15	0	0.01	1.018	0.1348	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	15	0	0.01	1.018	0.1134	0:00:00	2.74	7.10	0.45	0.59	0.00	0.00	0.00	0.00
pa	10000	100	0.01	15	0	0.4	1.018	0.1290	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	15	0	0.4	1.018	0.1276	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	15	0	0.8	1.018	0.1308	0:00:00	2.82	7.10	0.45	0.59	0.00	0.00	0.00	0.00
pa	10000	100	0.01	15	0	0.8	1.018	0.1312	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	15	0	1.0	1.018	0.1278	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	15	0	1.0	1.018	0.1288	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	20	0	0.01	1.018	0.1122	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	20	0	0.01	1.018	0.1166	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	20	0	0.4	1.018	0.1223	0:00:00	2.86	7.10	0.45	0.57	0.00	0.00	0.00	0.00
pa	10000	100	0.01	20	0	0.4	1.018	0.1186	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	20	0	0.8	1.018	0.1218	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	20	0	0.8	1.018	0.1194	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	20	0	1.0	1.018	0.1154	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	20	0	1.0	1.018	0.0966	0:00:00	2.89	7.10	0.45	0.58	0.00	0.00	0.00	0.00
pa	10000	100	0.01	32	0	0.01	1.018	0.2403	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	32	0	0.01	1.018	0.2659	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	32	0	0.4	1.018	0.2580	0:00:00	3.28	14.20	0.09	0.62	0.00	0.00	0.00	0.00
pa	10000	100	0.01	32	0	0.4	1.018	0.2546	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	32	0	0.8	1.018	0.2639	0:00:00	2.73	7.10	0.04	0.36	0.00	0.00	0.00	0.00
pa	10000	100	0.01	32	0	0.8	1.018	0.2431	0:00:00	2.79	7.10	0.45	0.57	0.00	0.00	0.00	0.00
pa	10000	100	0.01	32	0	1.0	1.018	0.2483	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	32	0	1.0	1.018	0.2649	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	7	1	0.01	1.018	0.6654	0:00:00	9.04	20.77	3.50	3.90	0.00	0.00	0.00	0.49
pa	10000	100	0.01	7	1	0.01	1.018	0.6883	0:00:00	9.06	20.77	3.46	3.83	0.00	0.00	0.00	0.49
pa	10000	100	0.01	7	1	0.4	1.018	0.7998	0:00:00	8.98	20.77	3.48	3.84	0.00	0.00	0.00	0.48
pa	10000	100	0.01	7	1	0.4	1.018	0.7739	0:00:00	8.95	20.77	3.47	3.85	0.00	0.00	0.00	0.49
pa	10000	100	0.01	7	1	0.8	1.018	0.8445	0:00:00	9.18	20.77	3.46	3.84	0.00	0.00	0.00	0.49
pa	10000	100	0.01	7	1	0.8	1.018	0.8229	0:00:00	9.11	20.77	3.46	3.84	0.00	0.00	0.00	0.55
pa	10000	100	0.01	7	1	1.0	1.018	0.9051	0:00:00	9.07	20.77	3.45	3.83	0.00	0.00	0.00	0.47
pa	10000	100	0.01	7	1	1.0	1.018	0.8930	0:00:00	8.97	20.77	3.45	3.83	0.00	0.00	0.00	0.49
pa	10000	100	0.01	8	1	0.01	1.018	0.6128	0:00:00	9.08	20.77	3.46	3.84	0.00	0.00	0.00	0.50
pa	10000	100	0.01	8	1	0.01	1.018	0.6069	0:00:00	9.00	20.77	3.43	3.81	0.00	0.00	0.00	0.51
pa	10000	100	0.01	8	1	0.4	1.018	0.6702	0:00:00	9.09	20.77	3.44	3.84	0.00	0.00	0.00	0.51
pa	10000	100	0.01	8	1	0.4	1.018	0.6927	0:00:00	9.05	20.77	3.44	3.82	0.00	0.00	0.00	0.49
pa	10000	100	0.01	8	1	0.8	1.018	0.7415	0:00:00	9.21	20.77	3.46	3.86	0.00	0.00	0.00	0.49
pa	10000	100	0.01	8	1	0.8	1.018	0.7466	0:00:00	9.11	20.77	3.43	3.80	0.00	0.00	0.00	0.49
pa	10000	100	0.01	8	1	1.0	1.018	0.7512	0:00:00	8.91	20.77	3.44	3.81	0.00	0.00	0.00	0.48
pa	10000	100	0.01	8	1	1.0	1.018	0.7544	0:00:00	9.08	20.77	3.44	4.11	0.00	0.00	0.00	0.49
pa	10000	100	0.01	9	1	0.01	1.018	0.5718	0:00:00	9.16	20.77	3.45	3.87	0.00	0.00	0.00	0.50
pa	10000	100	0.01	9	1	0.01	1.018	0.5607	0:00:00	9.07	20.77	3.44	3.84	0.00	0.00	0.00	0.51
pa	10000	100	0.01	9	1	0.4	1.018	0.6677	0:00:00	8.93	20.77	3.45	3.82	0.00	0.00	0.00	0.49
pa	10000	100	0.01	9	1	0.4	1.018	0.6445	0:00:00	9.00	20.77	3.44	3.81	0.00	0.00	0.00	0.50
pa	10000	100	0.01	9	1	0.8	1.018	0.6696	0:00:00	9.00	20.77	3.45	3.82	0.00	0.00	0.00	0.49
pa	10000	100	0.01	9	1	0.8	1.018	0.7152	0:00:00	9.20	20.77	3.43	3.82	0.00	0.00	0.00	0.48
pa	10000	100	0.01	9	1	1.0	1.018	0.7032	0:00:00	8.90	20.77	3.44	3.80	0.00	0.00	0.00	0.51
pa	10000	100	0.01	9	1	1.0	1.018	0.7173	0:00:00	9.13	20.77	3.44	3.82	0.00	0.00	0.00	0.49
pa	10000	100	0.01	10	1	0.01	1.018	0.5397	0:00:00	8.89	20.77	3.44	3.83	0.00	0.00	0.00	0.50
