alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	10000	100	0.05	0.1496	0:00:00	9.80	26.52	3.35	4.08	0.00	0.00	0.00	0.03
edlib	10000	100	0.05	0.2647	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
wfa	10000	100	0.05	0.0125	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
pa	3333	300	0.05	0.1616	0:00:00	3.43	9.63	0.11	0.45	0.00	0.00	0.00	0.00
edlib	3333	300	0.05	0.2040	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
wfa	3333	300	0.05	0.0132	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
pa	1000	1000	0.05	0.1636	0:00:00	9.60	25.80	4.04	4.36	0.00	0.00	0.00	0.04
edlib	1000	1000	0.05	0.1893	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
wfa	1000	1000	0.05	0.0160	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
pa	333	3000	0.05	0.1730	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
edlib	333	3000	0.05	0.3555	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
wfa	333	3000	0.05	0.0122	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
pa	100	10000	0.05	0.1955	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
edlib	100	10000	0.05	0.5861	0:00:00	9.79	26.53	2.81	3.21	0.00	0.00	0.00	0.50
wfa	100	10000	0.05	0.0238	0:00:00	-	-	-	-	-	-	0.00	0
pa	33	30000	0.05	0.2132	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
edlib	33	30000	0.05	0.8549	0:00:00	10.09	26.50	3.13	3.46	0.00	0.00	0.00	0.49
wfa	33	30000	0.05	0.0195	0:00:00	-	-	-	-	-	-	0.00	0
pa	10	100000	0.05	0.2738	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
edlib	10	100000	0.05	1.9967	0:00:01	10.04	27.36	3.66	3.96	0.00	0.00	52.10	1.53
wfa	10	100000	0.05	0.0121	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
pa	3	300000	0.05	0.4956	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
edlib	3	300000	0.05	2.6953	0:00:02	11.41	28.01	5.39	5.48	0.00	0.00	75.47	2.52
wfa	3	300000	0.05	0.0165	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
pa	1	1000000	0.05	0.8640	0:00:00	169.39	187.89	162.56	163.12	0.00	0.00	0.00	0.49
edlib	1	1000000	0.05	10.0123	0:00:10	15.22	32.64	8.56	8.86	0.00	0.00	91.78	9.67
wfa	1	1000000	0.05	0.0135	0:00:00	0.00	1.51	0.02	0.02	0.00	0.00	0.00	0.00
